127.0.0.1 - - [14/Oct/2024:20:28:36 +0000] "GET / HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [14/Oct/2024:20:28:50 +0000] "GET /ecole/faces/javax.faces.resource/calendar/calendar.css;jsessionid=D377A49FE409999C5913D90A7CBAFBFF?ln=primefaces&v=13.0.4 HTTP/1.1" 200 4995
0:0:0:0:0:0:0:1 - - [14/Oct/2024:20:28:50 +0000] "GET /ecole/faces/javax.faces.resource/jquery/jquery.js;jsessionid=D377A49FE409999C5913D90A7CBAFBFF?ln=primefaces&v=13.0.4 HTTP/1.1" 200 87555
0:0:0:0:0:0:0:1 - - [14/Oct/2024:20:28:50 +0000] "GET /ecole/faces/javax.faces.resource/primeicons/primeicons.css;jsessionid=D377A49FE409999C5913D90A7CBAFBFF?ln=primefaces&v=13.0.4 HTTP/1.1" 200 11181
0:0:0:0:0:0:0:1 - - [14/Oct/2024:20:28:50 +0000] "GET /ecole/faces/inscriptionPersonnel.xhtml HTTP/1.1" 200 9254
0:0:0:0:0:0:0:1 - - [14/Oct/2024:20:28:50 +0000] "GET /ecole/faces/javax.faces.resource/jquery/jquery-plugins.js;jsessionid=D377A49FE409999C5913D90A7CBAFBFF?ln=primefaces&v=13.0.4 HTTP/1.1" 200 146776
0:0:0:0:0:0:0:1 - - [14/Oct/2024:20:28:51 +0000] "GET /ecole/faces/javax.faces.resource/core.js;jsessionid=D377A49FE409999C5913D90A7CBAFBFF?ln=primefaces&v=13.0.4 HTTP/1.1" 200 57852
0:0:0:0:0:0:0:1 - - [14/Oct/2024:20:28:51 +0000] "GET /ecole/faces/javax.faces.resource/components.js;jsessionid=D377A49FE409999C5913D90A7CBAFBFF?ln=primefaces&v=13.0.4 HTTP/1.1" 200 497950
0:0:0:0:0:0:0:1 - - [14/Oct/2024:20:28:51 +0000] "GET /ecole/faces/javax.faces.resource/theme.css;jsessionid=D377A49FE409999C5913D90A7CBAFBFF?ln=primefaces-saga&v=13.0.4 HTTP/1.1" 200 199400
0:0:0:0:0:0:0:1 - - [14/Oct/2024:20:28:51 +0000] "GET /ecole/faces/javax.faces.resource/inputmask/inputmask.js;jsessionid=D377A49FE409999C5913D90A7CBAFBFF?ln=primefaces&v=13.0.4 HTTP/1.1" 200 112300
0:0:0:0:0:0:0:1 - - [14/Oct/2024:20:28:51 +0000] "GET /ecole/faces/javax.faces.resource/calendar/calendar.js;jsessionid=D377A49FE409999C5913D90A7CBAFBFF?ln=primefaces&v=13.0.4 HTTP/1.1" 200 92140
0:0:0:0:0:0:0:1 - - [14/Oct/2024:20:28:51 +0000] "GET /ecole/faces/javax.faces.resource/components.css;jsessionid=D377A49FE409999C5913D90A7CBAFBFF?ln=primefaces&v=13.0.4 HTTP/1.1" 200 109152
0:0:0:0:0:0:0:1 - - [14/Oct/2024:20:28:51 +0000] "GET /favicon.ico HTTP/1.1" 404 693
0:0:0:0:0:0:0:1 - - [14/Oct/2024:20:40:39 +0000] "GET /ecole/faces/javax.faces.resource/primeicons/primeicons.woff2?ln=primefaces&v=13.0.4 HTTP/1.1" 304 -
